V,E,Time(list), Time(matrix)
8,0,5.731,3.59
8,1,5.839,3.585
8,2,6.206,3.846
8,3,6.569,4.153
8,4,7.144,5.129
8,5,7.113,5.01
8,6,8.676,6.427
8,7,8.864,6.582
8,8,8.5,6.074
8,9,9.727,7.085
8,10,9.778,7.191
8,11,9.565,6.746
8,12,11.009,8.156
8,13,10.427,7.405
8,14,9.782,7.127
8,15,9.636,6.97
8,16,9.849,7.022
8,17,10.276,7.229
8,18,11.124,7.72
8,19,11.528,8.112
8,20,11.32,7.486
8,21,10.955,7.176
8,22,10.716,6.929
8,23,10.312,6.554
8,24,10.209,6.618
8,25,10.418,6.684
8,26,10.373,6.543
8,27,11.247,7.087
8,28,12.46,7.987
