V,E,Time(list), Time(matrix)
2,0,0.009,0.005
102,0,0.063,0.393
102,1635,0.467,0.911
102,3270,0.74,0.912
102,4905,1.19,0.76
202,0,0.118,2.144
202,4881,1.39,2.964
202,9762,2.873,3.43
202,14643,4.838,3.439
202,19524,7.744,2.785
302,0,0.183,4.293
302,9289,3.502,6.626
302,18578,7.467,7.722
302,27867,10.12,7.717
302,37156,12.75,6.433
402,0,0.183,5.342
402,14681,5.114,9.882
402,29362,9.573,11.595
402,44043,17.634,14.126
402,58724,21.892,11.548
402,73405,30.745,9.76
502,0,0.227,8.167
502,20947,6.6,14.623
502,41894,18.413,21.466
502,62841,30.104,21.255
502,83788,42.523,18.019
502,104735,57.731,17.824
502,125682,79.779,14.112
602,0,0.267,11.398
602,28012,9.138,20.637
602,56024,20.09,26.032
602,84036,42.339,30.953
602,112048,65.256,30.867
602,140060,82.581,26.314
