V,E,Time(list)/us,Time(matrix)/us
2,1,1.8,1
3,2,1.4,1.2
4,3,1.8,1.4
5,4,2.6,1.4
6,5,2.6,1.6
7,6,2.8,2.2
8,7,2.8,2.2
9,8,3.6,2.2
10,9,3.4,3
11,10,3.6,3.4
12,11,6.6,4.2
13,12,4.8,4
14,13,4.8,5
15,14,5,5.2
16,15,4.2,5.8
17,16,5,6.6
18,17,6,7
19,18,5.8,8
20,19,5.6,8
21,20,5.8,9
22,21,6.4,9.8
23,22,7.2,10.8
24,23,6.6,11.2
25,24,6.8,11.8
26,25,6.8,12.2
27,26,8.6,14.6
28,27,8.2,12
29,28,9.8,15.8
30,29,12.4,16.8
31,30,9.4,16.2
32,31,9.6,19.6
33,32,10,17.8
34,33,12.8,27.2
35,34,10.4,20
36,35,9.6,20.6
37,36,10.8,23.4
38,37,11,24
39,38,12.4,25
40,39,11,22.6
41,40,10,22.4
42,41,13,30.8
43,42,11.2,24.4
44,43,15.6,29.4
45,44,12.6,33.4
46,45,14,33
47,46,13,33.2
48,47,15.6,36.2
49,48,14.6,36
